date,forecast,lower,upper,year
2050-01-01,1158872,903920,1413824,2050
2050-02-01,1146798,894502,1399094,2050
2050-03-01,1135968,886055,1385881,2050
2050-04-01,1130221,881572,1378870,2050
2050-05-01,1132378,883255,1381501,2050
2050-06-01,1143689,892077,1395301,2050
2050-07-01,1163172,907274,1419070,2050
2050-08-01,1187323,926112,1448534,2050
2050-09-01,1210834,944450,1477217,2050
2050-10-01,1228332,958099,1498565,2050
2050-11-01,1236363,964363,1508363,2050
2050-12-01,1234541,962942,1506140,2050
